a,b,c,d,e,f,g,h,i,j,k
26.5447,16.2383,16.2422,4.924,2.2914,0.0002,1.9335,0.2222,0.0104,0.0002,0
26.6663,16.2408,16.2447,4.854,2.2965,0.0002,1.5634,0.2214,0.0095,0,0
26.8107,16.2444,16.2483,4.782,2.306,0.0005,1.8935,0.2219,0.0095,0.0003,0
26.9329,16.2495,16.2534,4.714,2.313,0.0001,1.9354,0.2224,0.011,0.0002,0
27.0935,16.2538,16.2577,4.661,2.3233,0,1.8126,0.2174,0.0127,0.0001,0
27.1951,16.258,16.2619,4.637,2.3323,0.0008,1.788,0.2177,0.0133,0.0003,0
27.2472,16.261,16.2649,4.642,2.3466,0.0008,1.834,0.2176,0.0129,0.0002,0
27.3646,16.2618,16.2657,4.664,2.3596,0.0003,1.9864,0.2306,0.0123,0.0001,0
27.4226,16.2616,16.2655,4.708,2.3684,0.0009,1.9204,0.2308,0.0105,0.0003,0
27.3879,16.2608,16.2647,4.762,2.3789,0.0001,1.7728,0.2306,0.014,0.0005,0
27.3918,16.2595,16.2634,4.833,2.3882,0.0002,1.8233,0.2149,0.0148,0.0001,0
27.383,16.2574,16.2613,4.899,2.3917,0,1.9182,0.2142,0.0162,0.0003,0
27.3599,16.2554,16.2593,4.962,2.3938,0.0002,1.8817,0.2148,0.0132,0,0
27.4006,16.2548,16.2587,5.023,2.3967,0.0002,1.8946,0.2149,0.0128,0.0002,0
27.4554,16.2554,16.2593,5.069,2.3999,0.0005,1.8558,0.2089,0.0119,0.0004,0
27.4952,16.2568,16.2607,5.093,2.4012,0.0002,1.9481,0.209,0.0114,0,0
27.5527,16.2593,16.2632,5.078,2.4044,0.0005,1.9062,0.2083,0.01,0.0002,0
27.6265,16.2628,16.2667,5.041,2.4095,0.0002,1.8571,0.2222,0.0106,0,0
27.6618,16.2679,16.2718,4.971,2.4141,0,1.8647,0.222,0.0111,0.0003,0
27.7079,16.2757,16.2796,4.884,2.4203,0.0003,1.8663,0.2221,0.011,0.0005,0
